"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"UNITED STATES BANKRUPTCY COURT
201 EAST FOURTH STREET, 8TH FLR 
CINCINNATI, OHIO  45204
REPLACE 2 GATES, REUSING PANELS, REFINISH AND REPAIR 6 BENCHES, INSTALL ONE BENCH PROVIED BY USBC, AFTER HOURS REMOVAL AND INSTALLATION INCLUDED.  MINIMAL TOUCH UP ON TRIM AND OTHER ASSOCIATED REFURBISHING NEAR WATER DAMAGE IN JUDGE HOPKINS COURTROOM, IN THE AMOUNT OF $8,076.75.", CINCINNATI,OH,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,STATE TEACHERS RETIREMENT SYSTEM OF OHIO,GS05P14SLP0045 / GS05P14SLP0045,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Morris-Rivera, Cecelia", Cecelia.Morris-Rivera@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Upgrade security system, CHICAGO,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,Burling Fremont LLC,GS05P15SIP0021 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-15-0018,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"UPGRADE SOFTWARE BAS SYSTEM AT THE JOHN F. SEIBERLING FEDERAL BUILDINBG, 2 SOUTH MAIN STREET, AKRON, OHIO .", AKRON,OH,484210,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,JOHNSON CONTROLS INTERIORS L.L.C.,GS06F0060P / GSP0514SL0141,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Latta, Andrew", Andrew.Latta@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,US Army CID Office Renovation Project, COLUMBUS,OH,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$100,000.00 ","$250,000.00 ",,"TOWN CENTER CONSTRUCTION, L.L.C.",GS-05P-11-FB-D-0021 / GS-P-05-15-FB-0026  ,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,US Army CID Office Renovation Project, COLUMBUS,OH,541310,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$100,000.00 ",,PERSPECTUS ARCHITECTURE LLC,GS05P11SLD0057 / GSP0514FB0043,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,US Probation reverse door swing,,VARIOUS LOCATIONS,531190,Small Business,Firm Fixed Price,Purchase Order,Small Business,$0.00 ,"$25,000.00 ",,"Thompson Thrift Properties, LLC",GS05B17684 / GS05P15SLP0032,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Morris-Rivera, Cecelia", Cecelia.Morris-Rivera@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"USAO 3 projects: Placement partition walls, audio video for Library, modify existing storage space", MINNEAPOLIS,MN,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$10,000,000.00 ","$10,000,000.00 ",,Versacon Inc.,GS-05P-13-SE-D0023 / GS-P-05-15-SA-5008,New Requirement,GSA funded,12/9/14,Solicitation Number 5PSSE-15-0014,FY 2015-1st Quarter,"Sieben, Ron", Ron.Sieben@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,USMS Basement Build-out, SPRINGFIELD,IL,236220,Woman-Owned Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$100,000.00 ",,Artisan Construction,GS05P14SCD0026 / GSP0515SC0056,New Requirement,GSA funded,2/4/15,Solicitation Number IL0173ZZBB,FY 2015-1st Quarter,"Ethell, Deborah", Deborah.Ethell@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Water clean-up due to Fountain Leak, AKRON,OH,337214,Small Business,Firm Fixed Price,Purchase Order,Small Business,$0.00 ,"$25,000.00 ",,Caveney Inc.,GS05P15SLP0024 / GS05P15SLP0024,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Latta, Andrew", Andrew.Latta@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Planning,BPA for Remediation and Reclamation Svcs,,REGIONWIDE,484210,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program BPA,Competitive Schedule Buy,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,,,FY 2015-4th Quarter,"Britten, Patricia", Patricia.Britten@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Planning,Install handicap operators and keypads for 4 rooms for EEOC at the AJC FB, CLEVELAND,OH,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00","$100,000.00",,, / ,New Requirement,GSA funded,,,FY 2015-4th Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Planning,Provide escort to NCMMS team, DULUTH,MN,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,,,FY 2015-4th Quarter,"Lerum, Alicia", Alicia.Lerum@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Planning,"Remove all layers of floor wax and apply 4 coats of wax at the Peck FB, Cincinatti, OH", CINCINNATI,OH,484210,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,,,FY 2015-4th Quarter,"Rubin, Jonathan", Jonathan.Rubin@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Planning,USDC 4th Floor Chambers and Courtroom Renovation - AE Services, MILWAUKEE,WI,541310,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00","$100,000.00",,, / ,New Requirement,Non-GSA funded,,,FY 2015-4th Quarter,"Deodhar, Neal", Neal.Deodhar@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Planning,USDC 4th Floor Chambers and Courtroom Renovation - Construction Services, MILWAUKEE,WI,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$250,000.00","$500,000.00",,, / ,New Requirement,Non-GSA funded,,,FY 2015-4th Quarter,"Deodhar, Neal", Neal.Deodhar@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Pre-solicitation,CMa for the DCMA Roof Replacement,,IN,236220,Other Than Small,Firm Fixed Price,GSA Schedule Order,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,,,FY 2015-4th Quarter,"Musselman, Katie", Katie.Musselman@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Pre-solicitation,JCK S EM Delayed Egress , CHICAGO,IL,562111,Other Than Small,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"CROWN ENERGY SERVICES, INC.",GS05P13SID0055 / GS-P-05-15-SI-0058,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-3rd Quarter,"Little, Michael", Michael.Little@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation,CNCS Move from leased space to McNamara Federal Building, DETROIT,MI,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,1/15/15,Solicitation Number 52P2QBC-15-5006,FY 2015-3rd Quarter,"Williams, Kathern", Kathern.Williams@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation,custodial and janitorial services for the courthouse (FOLLOW-ON), MILWAUKEE,WI,561720,SourceAmerica,Firm Fixed Price,Contract,SourceAmerica,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,6/30/14,Solicitation Number GS05P14SAD0051,FY 2015-3rd Quarter,"Buchalski, Rosie", Rosie.Buchalski@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation,DCAA 6th Floor Renovation - Construction, SAINT PAUL,MN,236220,Small Business,Firm Fixed Price,Contract,Small Business,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,1/6/15,Solicitation Number GS-05-P-15-FB-C-0003,FY 2015-3rd Quarter,"Lujano, Johanna", Johanna.Lujano@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation,"Operations and Maintneance Service, MCFB, Indianapolis, IN", INDIANAPOLIS,IN,238220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,SDVOSB,"$10,000,000.00 ","$10,000,000.00 ",,n/a,n/a / n/a,New Requirement,GSA funded,3/20/15,Solicitation Number GS05P15SCD0013,FY 2015-3rd Quarter,"Rubin, Jonathan", Jonathan.Rubin@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation,Passenger Elevator Upgrades, DULUTH,MN,236220,Other Than Small,Firm Fixed Price,Contract,Full and Open Competition,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,12/31/14,Solicitation Number GS05P15SAC0005,FY 2015-3rd Quarter,"Sieben, Ron", Ron.Sieben@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation,Replace UPS Batteries, FLINT,MI,238220,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"ADVANTAGE MECHANICAL-REFRIGERATION, INC.",GS05P12SVD0011 / ,New Requirement,GSA funded,,,FY 2015-4th Quarter,"Ramthun, Shawna", Shawna.Ramthun@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation,Schiller Park IRS move,Schiller Park,IL,484210,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,,,FY 2015-4th Quarter,"Little, Michael", Michael.Little@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation Issued,FAR and FMV Appraisal Report, CINCINNATI,OH,531320,Other Than Small,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,Integra Realty Resources Cincinnati/Dayton,GS05P12FAD0022 / GSP0515FA5001,New Requirement,GSA funded,2/23/15,Solicitation Number 5PTV-15-0003,FY 2015-3rd Quarter,"Britten, Patricia", Patricia.Britten@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation Issued,GC for the DCMA Roof Replacement,Bratenahl,OH,236220,Small Business,Firm Fixed Price,Contract,Small Business,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,3/10/15,Solicitation Number GS-05P-15-SC-C-0019,FY 2015-3rd Quarter,"Musselman, Katie", Katie.Musselman@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation Issued,"IDIQ for R&A, Loading Dock Improvements", CLEVELAND,OH,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$100,000.00 ","$250,000.00 ",,ERIE AFFILIATES INC.,GS05P10SLD0004 / GSP0515SL0050,New Requirement,GSA funded,2/11/15,Solicitation Number OH1092021015,FY 2015-3rd Quarter,"Makowski, Dan", Dan.Makowski@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation Issued,Ribbon Window Replacement, EAST ST LOUIS,IL,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Contract,SDVOSB,"$500,000.00","$1,000,000.00",,, / ,New Requirement,GSA funded,2/27/15,Solicitation Number GS05P15SCC0016,FY 2015-3rd Quarter,"Harris, Martin", Martin.Harris@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Solicitation Issued,USMS Office Renovation, BENTON,OH,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract,8A,$0.00 ,"$25,000.00 ",,, / ,New Requirement,GSA funded,3/2/15,Solicitation Number GS-05P-15-SC-C-0021,FY 2015-3rd Quarter,"Musselman, Katie", Katie.Musselman@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,12 MONTH PERIOD FOR ELEVATOR AND MECHANICAL MAITENANCE SERVICES TO BE PROVIDED AT THE CARL B. STOKES AND THE HOWARD M. METZENBAUM USCH.,,OH,238290,Other Than Small,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,None,"$100,000.00 ","$250,000.00 ",,KONE INC.,GS05P14SLD0064 / ,Exercise of Option,GSA funded,9/9/14,Solicitation Number GS05P14SLD0064,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,2014 SIL/IN Construction IDIQ Contract ,,VARIOUS LOCATIONS,236220,Woman-Owned Small Business,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Small Business,$0.00 ,"$25,000.00 ",,"Wycliffe Enterprises, Inc.",GS05P14SCD0021 /  ,Exercise of Option,GSA funded,,,FY 2015-1st Quarter,"Ethell, Deborah", Deborah.Ethell@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,2014 SIL/IN Construction IDIQ Contract ,,VARIOUS LOCATIONS,236220,Woman-Owned Small Business,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Small Business,$0.00 ,"$25,000.00 ",,Artisan Construction  ,GS05P14SCD0026 / GS-05P-14-SC-D-0026,Exercise of Option,GSA funded,,,FY 2015-1st Quarter,"Ethell, Deborah", Deborah.Ethell@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,45 ppl will take various IMS (Institute for Management Studies) classes at $425 per course - open to all locations in the region; courses determined by individual students. Annual dues are required as well.,,REGIONWIDE,484210,Small Business,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,"INSTITUTE FOR MANAGEMENT STUDIES, INC.",GS05P14FAP0036 / ,Exercise of Option,GSA funded,9/11/14,Solicitation Number GS05P14FAP0036,FY 2015-1st Quarter,"Stroud-Cooley, Brenda", Brenda.Stroud-Cooley@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,A/E Services Parapet Wall Repair, LAFAYETTE,IN,541310,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,INTERACTIVE DESIGN ARCHITECTS,GS-05P-15-FA-D-0004 / GS-P-05-15-SC-0048,Exercise of Option,GSA funded,1/12/15,,FY 2015-1st Quarter,"Morrow, Brittany", Brittany.Morrow@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Ada McKinley Mail contract services. Performance Period of March 1, 2014 through September 30, 2014.",,VARIOUS LOCATIONS,484210,Other Than Small,Firm Fixed Price,Contract,SourceAmerica,"$100,000.00 ","$250,000.00 ",,"ADA S. MCKINLEY COMMUNITY SERVICES, INC.",GS05P14FAC0005 / N/A,Exercise of Option,GSA funded,,Solicitation Number GS05P14FAC0005,FY 2015-1st Quarter,"Stroud-Cooley, Brenda", Brenda.Stroud-Cooley@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"ADMINISTRATIVE SERVICES TO BE PROVIDED AT THE AJC FB, 1240 EAST NINTH STEET, CLEVELAND, OHIO 44199, CARL B. STOKES USCH, 801 W. SUPERIOR AVENUE, CLEVELAND, OHIO 44113, THE HOWARD M. METZENBAUM USCH, 201 SUPERIOR AVENUE, CLEVELAND, OHIO 44113 AND THE JOHN F. SEIBERLING FEDERAL BLDG & USCH, 2 SOUTH MAIN STREET, AKRON, OHIO 44308.",,OH,484210,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Small Business,"$250,000.00 ","$500,000.00 ",,CMW AND ASSOCIATES CORPORATION,GS05P12SLD0058 / ,Exercise of Option,GSA funded,5/16/12,Solicitation Number GS05P12SLD0058,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,AE IDIQ,,MI,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,$0.00 ,"$25,000.00 ",,ANN ARBOR ARCHITECTS COLLABORATIVE,GS05P13SVD0031 / ,Exercise of Option,GSA funded,,,FY 2015-1st Quarter,"Daniero, Joseph", Joseph.Daniero@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,"TOBIN REAL ESTATE ADVISORS, INC.",GS-05P-12-FA-D-0038 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,HERMAN APPRAISAL SERVICES INC,GS-05P-12-FA-D-0027 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,MITCHELL APPRAISALS INC,GS-05P-12-FA-D-0028 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,"SCOTT APPRAISAL, LLC",GS-05P-12-FA-D-0014 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,"INTEGRA REALTY RESOURCES - CINCINNATI/DAYTON, INC.",GS-05P-12-FA-D-0022 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,"P.R.S. CONSULTING, LTD",GS-05P-12-FA-D-0021 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,BUR VALUATION GROUP INC,GS-05P-12-FA-D-0008 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Appraisal and Consulting Services IDIQ (2012),,REGIONWIDE,531320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,,$0.00 ,"$25,000.00 ",,"COMMERCIAL PROPERTY CONSULTANTS, INC.",GS-05P-12-FA-D-0010 / N/A,Exercise of Option,GSA funded,2/14/11,Solicitation Number GS-05P-11-FA-D-0025,FY 2015-1st Quarter,"Calik, Jennifer", Jennifer.Calik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
